Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),7,0.3719115734720416,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),7,0.3660598179453836,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),7,0.36866059817945385,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),15,0.307843137254902,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),15,0.3241830065359477,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),15,0.31699346405228757,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),77,0.5040871934604905,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),77,0.5061307901907357,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),77,0.329700272479564,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),154,0.5657800143781452,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),154,0.5902228612508986,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),154,0.32063263838964773,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),231,0.6286149162861492,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),231,0.6438356164383562,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),231,0.471841704718417,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),309,0.6949838187702265,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),309,0.6966019417475728,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),309,0.3131067961165049,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),386,0.5099223468507333,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),386,0.5090595340811044,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),386,0.5660051768766178,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),463,0.7523105360443623,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),463,0.7532347504621072,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),463,0.7578558225508318,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),540,0.817910447761194,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),540,0.8049751243781095,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),540,0.7263681592039801,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),618,0.8381877022653722,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),618,0.8500539374325782,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),618,0.5512405609492989,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),695,0.8576470588235294,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),695,0.8658823529411764,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),695,0.8505882352941176,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),772,0.888745148771022,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),772,0.8965071151358344,0.9242718446601942,0.9242718446601942
1,Rounded,MultiRocket-LSTM,KnockoffNets (vs. Protected),772,0.8926261319534282,0.9242718446601942,0.9242718446601942
1,Rounded,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),7,0.5552665799739922,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),7,0.5403120936280884,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,KnockoffNets (vs. Protected),7,0.49024707412223667,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),15,0.5522875816993464,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),15,0.538562091503268,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,KnockoffNets (vs. Protected),15,0.28823529411764703,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),77,0.5429155313351499,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),77,0.5735694822888283,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,KnockoffNets (vs. Protected),77,0.5006811989100818,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),154,0.5276779295470885,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),154,0.5880661394680087,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,KnockoffNets (vs. Protected),154,0.6779295470884256,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),231,0.7191780821917808,0.9359223300970874,0.9359223300970874
1,Rounded,MiniRocket-LSTM,Argmax CopycatCNN (vs. Protected),231,0.576103500761035,0.9359223300970874,0.9359223300970874
