Iteration,Defence,Model Pairing,Method Name,Stealing Dataset Size,Stolen Model Accuracy,Original Model Accuracy,Protected Model Accuracy
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),10,0.36946564885496186,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),10,0.39083969465648855,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),10,0.19618320610687023,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),13,0.3152257077276205,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),13,0.45141545524100996,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),13,0.27314460596786533,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),66,0.18819776714513556,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),66,0.27910685805422647,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),66,0.22567783094098884,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),132,0.5311447811447811,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),132,0.10942760942760943,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),132,0.563973063973064,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),198,0.6648841354723708,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),198,0.6140819964349377,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),198,0.7700534759358288,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),264,0.8323863636363636,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),264,0.8399621212121212,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),264,0.7926136363636364,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),330,0.8919191919191919,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),330,0.8555555555555555,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),330,0.8666666666666667,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Probabilistic CopycatCNN (vs. Protected),396,0.8430735930735931,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,Argmax CopycatCNN (vs. Protected),396,0.8993506493506493,0.9962121212121212,0.9962121212121212
1,ClassLabels,MultiRocket-LSTM,KnockoffNets (vs. Protected),396,0.8777056277056277,0.9962121212121212,0.9962121212121212
